DNPH1	513
Int-Tn_1	3047
Int-Tn_2	3040
KAEIAEFF_00001	0
KAEIAEFF_00008	0
KAEIAEFF_00009	2
KAEIAEFF_00012	81
KAEIAEFF_00014	512
KAEIAEFF_00017	2573
KAEIAEFF_00018	1196
KAEIAEFF_00019	869
KAEIAEFF_00022	670
KAEIAEFF_00027	7
KAEIAEFF_00029	5594
KAEIAEFF_00030	1816
KAEIAEFF_00032	33
KAEIAEFF_00033	769
KAEIAEFF_00034	178
KAEIAEFF_00035	15
KAEIAEFF_00036	46
KAEIAEFF_00037	196
KAEIAEFF_00038	4118
KAEIAEFF_00039	492
KAEIAEFF_00041	220
KAEIAEFF_00043	98
KAEIAEFF_00044	404
KAEIAEFF_00045	0
KAEIAEFF_00046	0
KAEIAEFF_00048	3188
KAEIAEFF_00049	2405
KAEIAEFF_00050	16
KAEIAEFF_00051	6
KAEIAEFF_00052	46
KAEIAEFF_00053	6
KAEIAEFF_00054	547
KAEIAEFF_00055	513
KAEIAEFF_00056	119
KAEIAEFF_00057	715
KAEIAEFF_00063	3158
KAEIAEFF_00071	34
KAEIAEFF_00072	267
KAEIAEFF_00076	2413
KAEIAEFF_00077	1428
KAEIAEFF_00083	442
KAEIAEFF_00084	1939
KAEIAEFF_00087	4840
KAEIAEFF_00092	580
KAEIAEFF_00094	5893
KAEIAEFF_00095	14888
KAEIAEFF_00100	0
KAEIAEFF_00101	27
KAEIAEFF_00102	11
KAEIAEFF_00103	89
KAEIAEFF_00104	15
KAEIAEFF_00106	176
KAEIAEFF_00111	59
KAEIAEFF_00112	9
KAEIAEFF_00114	634
KAEIAEFF_00115	6
KAEIAEFF_00116	645
KAEIAEFF_00117	639
KAEIAEFF_00122	510
KAEIAEFF_00125	1568
KAEIAEFF_00128	1722
KAEIAEFF_00129	7516
KAEIAEFF_00131	4501
KAEIAEFF_00136	7142
KAEIAEFF_00137	153
KAEIAEFF_00144	643
KAEIAEFF_00145	922
KAEIAEFF_00146	4
KAEIAEFF_00147	0
KAEIAEFF_00169	1081
KAEIAEFF_00170	1558
KAEIAEFF_00171	487
KAEIAEFF_00173	586
KAEIAEFF_00174	1070
KAEIAEFF_00179	1389
KAEIAEFF_00180	144
KAEIAEFF_00186	29794
KAEIAEFF_00190	301
KAEIAEFF_00191	3552
KAEIAEFF_00192	1459
KAEIAEFF_00193	2192
KAEIAEFF_00194	918
KAEIAEFF_00195	650
KAEIAEFF_00201	254
KAEIAEFF_00204	48
KAEIAEFF_00205	152
KAEIAEFF_00206	493
KAEIAEFF_00208	388
KAEIAEFF_00209	2207
KAEIAEFF_00212	1006
KAEIAEFF_00213	189
KAEIAEFF_00214	7203
KAEIAEFF_00226	1538
KAEIAEFF_00229	0
KAEIAEFF_00231	38
KAEIAEFF_00233	132
KAEIAEFF_00237	3426
KAEIAEFF_00238	3370
KAEIAEFF_00240	745
KAEIAEFF_00241	2079
KAEIAEFF_00246	91
KAEIAEFF_00252	2139
KAEIAEFF_00255	2562
KAEIAEFF_00256	289
KAEIAEFF_00259	1030
KAEIAEFF_00260	274
KAEIAEFF_00261	193
KAEIAEFF_00262	981
KAEIAEFF_00265	1
KAEIAEFF_00269	942
KAEIAEFF_00271	196
KAEIAEFF_00272	924
KAEIAEFF_00273	843
KAEIAEFF_00274	123
KAEIAEFF_00275	12
KAEIAEFF_00277	198
KAEIAEFF_00278	184
KAEIAEFF_00283	456
KAEIAEFF_00284	411
KAEIAEFF_00285	3187
KAEIAEFF_00286	3989
KAEIAEFF_00288	188
KAEIAEFF_00289	37
KAEIAEFF_00290	172
KAEIAEFF_00291	4372
KAEIAEFF_00292	2448
KAEIAEFF_00293	278
KAEIAEFF_00294	30
KAEIAEFF_00295	2
KAEIAEFF_00296	1
KAEIAEFF_00297	4
KAEIAEFF_00298	0
KAEIAEFF_00299	0
KAEIAEFF_00300	10
KAEIAEFF_00301	0
KAEIAEFF_00305	286
KAEIAEFF_00306	1691
KAEIAEFF_00307	3
KAEIAEFF_00308	22
KAEIAEFF_00312	15344
KAEIAEFF_00315	558
KAEIAEFF_00317	105
KAEIAEFF_00318	2
KAEIAEFF_00321	1711
KAEIAEFF_00322	2023
KAEIAEFF_00324	7
KAEIAEFF_00326	31
KAEIAEFF_00332	1000
KAEIAEFF_00335	2309
KAEIAEFF_00348	1682
KAEIAEFF_00349	97
KAEIAEFF_00351	0
KAEIAEFF_00352	18430
KAEIAEFF_00354	26875
KAEIAEFF_00355	7203
KAEIAEFF_00362	46
KAEIAEFF_00363	32
KAEIAEFF_00364	2769
KAEIAEFF_00365	1301
KAEIAEFF_00366	2780
KAEIAEFF_00368	6396
KAEIAEFF_00377	436
KAEIAEFF_00378	1232
KAEIAEFF_00379	858
KAEIAEFF_00381	32
KAEIAEFF_00382	0
KAEIAEFF_00387	5136
KAEIAEFF_00391	128
KAEIAEFF_00398	1356
KAEIAEFF_00399	4653
KAEIAEFF_00403	151
KAEIAEFF_00405	94
KAEIAEFF_00406	24553
KAEIAEFF_00417	641
KAEIAEFF_00418	1094
KAEIAEFF_00419	2171
KAEIAEFF_00420	1162
KAEIAEFF_00426	214
KAEIAEFF_00427	2199
KAEIAEFF_00431	2
KAEIAEFF_00432	53
KAEIAEFF_00433	17
KAEIAEFF_00434	8
KAEIAEFF_00436	9406
KAEIAEFF_00437	6
KAEIAEFF_00438	32
KAEIAEFF_00439	77
KAEIAEFF_00440	7
KAEIAEFF_00445	3297
KAEIAEFF_00452	5678
KAEIAEFF_00456	0
KAEIAEFF_00460	65988
KAEIAEFF_00461	4503
KAEIAEFF_00463	8880
KAEIAEFF_00464	13
KAEIAEFF_00465	29
KAEIAEFF_00466	2595
