"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pheS",5382.68357519489,-2.7024399944293,0.0619348942757833,-43.6335611133183,0,0
"degA_4",2386.94039379541,-2.68712120279908,0.081501105069879,-32.9703652544974,2.16071960792122e-238,1.87653800731419e-237
"rpsB",44952.7683047913,-2.64195302090241,0.058239954006005,-45.3632401672227,0,0
"rpsN1",27512.1561821394,-2.63844379663279,0.0697481619787666,-37.828148036876,0,0
"ygaZ_2",2890.22812979331,-2.6313550716662,0.0825488592700312,-31.8763347541678,5.6830046652011e-223,4.58658659342998e-222
"treA",4246.47092200644,-2.61127881680234,0.0592870529828663,-44.0446722416273,0,0
"rplO",48029.4496141116,-2.60579750564071,0.0726566619659174,-35.8645365082016,1.09155730727927e-281,1.13266790716382e-280
"pbuG",3757.9173489665,-2.59093232471379,0.0659216012663716,-39.3032371019709,0,0
"sttH",207.601616832911,-2.58828876040992,0.176215333042002,-14.688215354069,7.67075431273677e-49,2.13551661877236e-48
"secY",134531.706704331,-2.57864763338375,0.0548715902015356,-46.9942209422533,0,0
"treB",2406.22664766152,-2.56893319899178,0.0819002008752269,-31.3666287938108,5.77263939360117e-216,4.56667215394785e-215
"nfo_2",3069.82248452093,-2.55738415499982,0.0727720045235587,-35.1424173587511,1.51773316659714e-270,1.50642086970324e-269
"rpsH",40850.0612125688,-2.54558719786774,0.0691465237301017,-36.8143915347629,1.08660570442797e-296,1.19751442460406e-295
"folA_2",1814.48956848415,-2.52029015133264,0.0748917735360302,-33.6524297975149,2.87292230897424e-248,2.65371667615078e-247
"rpmJ",33864.1237558337,-2.51453501631304,0.0636904248794906,-39.4805815955981,0,0
"nadD",11059.1576502261,-2.49864978201039,0.0761221567186466,-32.8242116319115,2.65850403404423e-236,2.27181253818325e-235
"pbpX_1",726.808575674526,-2.48821560514395,0.115174301944945,-21.603913052873,1.65026842402707e-103,7.49184358407745e-103
"alsS",2848.84965049199,-2.48640750077201,0.0748207591175724,-33.2315193015471,3.7752300560569e-242,3.38922338740389e-241
"prsA_1",12618.7474370883,-2.48236998208353,0.0600641169880159,-41.3286685389685,0,0
"rpsS",28204.4264237272,-2.47310273551662,0.0541835600177208,-45.6430462433215,0,0
"rplK",49628.9340367681,-2.46950870444284,0.0535489812912232,-46.1168194967624,0,0
"infA",21709.0522506628,-2.46490608675661,0.0736780095752119,-33.4551123322677,2.16883415142429e-245,1.96920282612273e-244
"rpmD",14499.3293148045,-2.45673709792764,0.0553385170610715,-44.3947042385757,0,0
"rplR",41766.8872759909,-2.45555399154017,0.0554931741035565,-44.2496582905463,0,0
"rsfS",7599.13220338405,-2.4490432109503,0.061423570376731,-39.8713913230624,0,0
"rplE",36001.2330143365,-2.43833580238778,0.0530830236796041,-45.9343803982411,0,0
"ptsG_2",1381.22488361063,-2.43690598180297,0.0872311661164503,-27.9361848556489,9.7029739934749e-172,6.43375619982277e-171
"yhdG",6687.93956784511,-2.42291312256507,0.0887368503477629,-27.3044751201963,3.75315057154348e-164,2.41836073118003e-163
"rpsQ",55660.0813929565,-2.42253257124803,0.059469459373323,-40.7357422915255,0,0
"cdaR_2",7.57546070274924,-2.42221889187719,0.834410565473501,-2.90291014052855,0.00369712702065504,0.0046851776201481
"rplN",33220.4640649724,-2.42129290658158,0.0503442871624541,-48.0946904416065,0,0
"rplA",41533.5182844463,-2.3928826935674,0.0558942286647018,-42.8109082231337,0,0
"rplX",63100.607469415,-2.38998410931595,0.0592485099785125,-40.338298974653,0,0
"rpsK",31015.0458688966,-2.38630803859908,0.0675289764737748,-35.3375419443209,1.55777509539635e-273,1.57552190028062e-272
"ribZ_1",314.488180744959,-2.38207403226471,0.178864002595633,-13.3177945125716,1.82417013884654e-40,4.62702203472503e-40
"rpmC",18256.2205318011,-2.38184892835877,0.0976645811664953,-24.3880524537168,2.28996591921483e-131,1.27061303434212e-130
"rpsJ",11986.4781780537,-2.37457510606713,0.0606689306242238,-39.1398872806077,0,0
"murJ_3",5875.17343601597,-2.35951390183542,0.0620881575911878,-38.0026400102152,0,0
"ybiT_3",2230.35664303489,-2.35285777373812,0.0690388029133947,-34.0802226349383,1.4483985111393e-254,1.36149460047094e-253
"sacY",1001.45649031699,-2.33755269713238,0.0983868684043279,-23.7587874788944,8.91413137973343e-125,4.74826064827134e-124
"rpsE",58957.2621631087,-2.3367448465751,0.053105604106624,-44.0018503863254,0,0
"prsA_3",1305.54655287717,-2.33598872897838,0.0985106068204031,-23.7130681088705,2.64365855958003e-124,1.40351042465412e-123
"gmuE_5",769.537780740985,-2.31952080612062,0.102803971483544,-22.5625603043157,1.01098853104556e-112,5.01726606400871e-112
"rplV",29065.0613600115,-2.30930378971459,0.0578343845523261,-39.9295991059649,0,0
"ackA",7591.5762497951,-2.30787193321389,0.0574611406519031,-40.1640466414489,0,0
"rpsT",9506.45104165361,-2.29783563850072,0.0839898897900124,-27.3584790293887,8.56088432731414e-165,5.53858022471579e-164
"rplU",58795.6964269582,-2.28161952596955,0.0581743081654035,-39.2203981091164,0,0
"yfmO_1",3.75936668168395,-2.27870732597432,1.21035485566293,-1.88267706393117,0.0597441455738929,0.0707717899385329
"glcU_1",9908.29450645312,-2.26325488897719,0.0700967766205819,-32.2875743805979,1.04523395628209e-228,8.69939511530617e-228
"rpoA",81528.2734439252,-2.23516427953707,0.0794704672623615,-28.1257221271641,4.74906398594203e-174,3.20211149769425e-173
"rplP",39159.9231271773,-2.23299875399601,0.0689775167247543,-32.3728492996711,6.61819138425627e-230,5.5371046241055e-229
"cfa",6525.55445207071,-2.21727276739677,0.0583613287413527,-37.9921570535746,0,0
"metN2",1944.36579005019,-2.21695701942934,0.080599082335553,-27.50598338328,1.48892172814671e-166,9.67193870560342e-166
"rpsM",30800.2849477108,-2.19468372307746,0.049128823729142,-44.6720185115206,0,0
"pyrG",6695.21643464746,-2.18379301223496,0.0564205713842149,-38.705616739747,0,0
"rplF",42255.7342575367,-2.18321637251408,0.0471553028507858,-46.298427547427,0,0
"rpsC",75915.8897739375,-2.18147135771888,0.0755543660616973,-28.8728695829107,2.61661978220741e-183,1.84200811099887e-182
"topA",10735.9898467241,-2.17119977628649,0.0527931189327255,-41.1265676319153,0,0
"rlmCD_2",4906.83330639315,-2.16927105097805,0.0581380094440297,-37.3124410643339,1.03138651005469e-304,1.16890471139532e-303
"rpsL",54840.0830071766,-2.16359265425889,0.047405949647499,-45.6396859539134,0,0
"gla",14782.8854919294,-2.16036670740476,0.0609757399629295,-35.4299383446295,5.90908759121479e-275,6.01447259284155e-274
"apt",6735.22859064418,-2.15801538682361,0.0662025506276924,-32.5971638005275,4.49887427873061e-233,3.80381010445053e-232
"zosA",4529.15761589868,-2.1570306723654,0.0645943574678357,-33.3934844609218,1.70457114810273e-244,1.53892920602721e-243
"ybbH_2",481.299783966689,-2.15040293982333,0.138006785045731,-15.5818638852485,9.66936740255411e-55,2.8774020687675e-54
"bceA_1",2621.19228533726,-2.14291997466711,0.0882658881930483,-24.2780083964065,3.34733501217957e-130,1.82561138206926e-129
"rplQ",93275.4757868154,-2.14097110348259,0.0536610024117616,-39.8980825414719,0,0
"natA_1",92.7575205190477,-2.13824756142301,0.239262376288676,-8.93683158459966,4.00488055178421e-19,7.6188084782752e-19
"lhpI",126.904359933671,-2.13474413099086,0.211826979188486,-10.0777726197537,6.92787572242858e-24,1.42848327799237e-23
"rpsD",41568.209015264,-2.11837375853822,0.0706855752862684,-29.9689682082808,2.49096814574236e-197,1.84285513745198e-196
"greA",17744.8735786495,-2.11601355458253,0.0510387303859571,-41.4589771058399,0,0
"galK_2",2019.19080561325,-2.10977781479591,0.0727653997087395,-28.9942448367052,7.77606676861876e-185,5.57226667993398e-184
"arcC1",953.401230910145,-2.1092500913846,0.100832843625689,-20.918284316314,3.65010984599097e-97,1.58502052551456e-96
"fba",188191.360861148,-2.09431900056048,0.0613833164775273,-34.1187006623733,3.89555854630456e-255,3.68349263727497e-254
"cmk",3521.59913727825,-2.0925030662501,0.0675020519398115,-30.999103080835,5.54264121298738e-211,4.29958284386109e-210
"rplT",20839.5929789703,-2.09242349923588,0.0567904417146708,-36.8446420922157,3.56338281628429e-297,3.95436509751548e-296
"rpmH",1203.91596169296,-2.07142582940195,0.125184855386535,-16.5469363127511,1.6846000208885e-61,5.405604083092e-61
"ulaB_1",16.6199820286629,-2.06287264712739,0.543828663182685,-3.79324001617478,0.000148694303692658,0.000200011361364367
"ileS",12398.1522830311,-2.06104984999789,0.0501657805702726,-41.0847758485639,0,0
"rplB",52894.7853938979,-2.05852974765861,0.0612963477192329,-33.5832365916429,2.9474043498369e-247,2.70686905232147e-246
"dus_1",2956.77198211612,-2.04962365654841,0.0731914752120148,-28.003584442194,1.46942354144852e-172,9.86612949258289e-172
"hrcA",6859.93177237495,-2.04960028759275,0.0547165935749179,-37.4584774687488,4.37156287733684e-307,5.02572480430523e-306
"mgtA",2176.05327545397,-2.04927550940553,0.0708438487663781,-28.9266541145079,5.51930320789765e-184,3.90258695850462e-183
"puuR",548.331461537577,-2.04290755498817,0.109608226177778,-18.6382685518028,1.57248687892814e-77,5.91255066476982e-77
"mro_2",266.937403659175,-2.03970717055014,0.174436957064331,-11.6930907582727,1.38261692297546e-31,3.16083239329727e-31
"tsf",53998.0257826163,-2.03176854382468,0.0557203618744802,-36.4636638290612,4.17875701875404e-291,4.51192818646551e-290
"tgt",1725.96930692938,-2.03125396413708,0.0904034228515313,-22.4687727529187,8.38770543799568e-112,4.111519414085e-111
"nanE_1",514.498137703645,-2.01738312287073,0.131695118893416,-15.3185868984519,5.74530124418743e-53,1.68150025425119e-52
"rimI_1",1964.47051802693,-2.01634786086522,0.0867980566789484,-23.2303341574035,2.24862450622945e-119,1.15169934645983e-118
"rplD",33036.5898697752,-1.99036109985474,0.0661667195812157,-30.0810001229045,8.58796762541355e-199,6.47338314406172e-198
"tsaB",1208.08317956022,-1.98903510255492,0.0987900809964297,-20.1339555802855,3.72074466511397e-90,1.53636950254577e-89
"gadC_2",38.3794339091865,-1.98726602665378,0.372052197458247,-5.3413634974614,9.22500668008497e-08,1.38029594333107e-07
"grpE",6955.88374471139,-1.98265125745685,0.0632249099172143,-31.3587043469561,7.40320751637838e-216,5.82774660648899e-215
"rplC",56493.4019303781,-1.97509285342773,0.0863938576930872,-22.8614962471547,1.12314258626616e-115,5.66177240647738e-115
"tig",40745.6873990432,-1.97230639695037,0.0443997292900871,-44.4215860881547,0,0
"rpmE2",25741.2253890837,-1.96398650760981,0.0760639594113733,-25.8201981964686,5.26061754064748e-147,3.17225163394516e-146
"alaS",22025.9887271474,-1.95599269481421,0.0471408165490919,-41.4925501508288,0,0
"tagH",5093.07526575662,-1.95470502649363,0.0561588735930135,-34.8066993056072,1.92604064395527e-265,1.88822880309234e-264
"hslV",3735.48086629843,-1.95184112572794,0.0809888493967297,-24.1001216867115,2.49237640844309e-128,1.35010762735324e-127
"dltA",2628.13785507907,-1.93030549343534,0.0742266058381201,-26.0055740342637,4.28303961281705e-149,2.60239441113371e-148
"yidC",5440.17521928394,-1.92431578984791,0.059351360541792,-32.4224377045731,1.32544327251723e-230,1.11476755235923e-229
"rpmI",13459.7451388307,-1.92358870195642,0.0503081475130041,-38.2361266921863,0,0
"ybiT_1",10143.6637390277,-1.91577525253363,0.0488212387411342,-39.2406112981214,0,0
"ydcP_1",4505.01527995852,-1.91229951001851,0.0849928101398658,-22.4995444540731,4.19346748096273e-112,2.06189570294721e-111
"rpsP",19807.2431718071,-1.9118830047947,0.10028200020235,-19.0650665217774,4.92650701591282e-81,1.90618842891736e-80
"xerC_1",2385.7968535314,-1.91003910220658,0.070111779730346,-27.2427701814546,2.02421943111741e-163,1.29907736984965e-162
"nhaK",5082.09729945543,-1.90890245823568,0.0675667256428277,-28.2521084168938,1.34093600950878e-175,9.1966340909658e-175
"glyS",11850.5201753206,-1.89985247455296,0.0593767819019845,-31.996555112891,1.21761897094366e-224,1.00296655441648e-223
"rsmA_1",6953.44216963661,-1.89580700733931,0.0574898615354422,-32.9763710801521,1.77220974136204e-238,1.54753615666477e-237
"rpsG",58743.6477838671,-1.88526361044708,0.0519902174018791,-36.2618912683935,6.45470826101522e-288,6.87641586740154e-287
"yodC_1",383.787569598125,-1.88325425143459,0.123152345245705,-15.2920697342567,8.63612778165957e-53,2.52294921299671e-52
"por_1",157.703010901458,-1.881522779637,0.213346974808843,-8.81907409900156,1.15410050419984e-18,2.18513341908927e-18
"kfoC",18741.3718842072,-1.8807615882374,0.0487399302373626,-38.5876955317359,0,0
"amt",41.9673453016348,-1.86641509954068,0.377179095697503,-4.94835244272801,7.48442969264493e-07,1.09224827843348e-06
"rimP",5636.81987080203,-1.86541610473902,0.0598665463159841,-31.1595744122785,3.76273392850967e-213,2.93309698427242e-212
"pdp",9393.77383778977,-1.86468818561773,0.0725504246245382,-25.701961019082,1.1113456909571e-145,6.6764301283814e-145
"rplW",20483.1548809992,-1.85324848371475,0.0562995150918289,-32.9176633349676,1.22834265166087e-237,1.06102246343463e-236
"pnuC",2360.66193213424,-1.85220821819699,0.0661691729691168,-27.9920110088345,2.03259467679433e-172,1.35903192197378e-171
"uxuA_1",191.8217950978,-1.85015967833861,0.177032404726741,-10.4509662013258,1.45039992882954e-25,3.06985309439682e-25
