"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ydhF",56336.8984804644,5.99874906253115,0.0865867287284529,69.2802367132265,0,0
"niaX",16902.6972366853,5.88645235244044,0.0911006668918224,64.6148107722451,0,0
"purE",5500.56032095657,5.86731611304742,0.0996979085361421,58.8509448111484,0,0
"celA_3",3252.03054387673,5.85800592159763,0.124993506508317,46.866481989669,0,0
"gldA",3779.55271230544,5.80898022388708,0.100145323676341,58.0055065043384,0,0
"licA_2",5173.78071903426,5.78590446658812,0.199856818951773,28.9502479671925,2.78617223529301e-184,1.97880143644366e-183
"ysnF",19788.426424689,5.77487089513328,0.0741088853877975,77.9241364232439,0,0
"fhuC",5533.81217073173,5.73698053577375,0.104388785303502,54.957824435776,0,0
"manX_6",439.33583254452,5.5195232745227,0.215065644693721,25.6643653261456,2.92299084217537e-145,1.7364086861696e-144
"ohrB_2",31800.3006311694,5.51939564793078,0.0641667452657955,86.0164501887698,0,0
"mepM_1",429.38794400885,5.39104943891086,0.215297472425362,25.0400033877769,2.24342426191177e-138,1.30363344383091e-137
"adhE",90984.3619031935,5.24598767032155,0.0620000934854601,84.6125767786432,0,0
"vioD",3190.71070334261,5.2108455652885,0.0992158003881267,52.5203197968868,0,0
"arcD1_1",2477.18105843667,5.11927988417527,0.099795154342224,51.2978803221237,0,0
"ulaC",3944.6203546948,5.10613328483674,0.105824375096434,48.2510128709357,0,0
"manX_3",29.363130230235,4.93015153538132,0.706220524700508,6.98103688996023,2.93009354637366e-12,4.93391937524248e-12
"pbuO",23855.8647060782,4.85223947556296,0.0760998514508059,63.7614841955329,0,0
"mtlA_1",26.2537722651498,4.76518858533709,0.725733830458766,6.56602790905423,5.16751347908306e-11,8.47811759709931e-11
"smc_6",1003.65756642166,4.7465918928234,0.129823043611806,36.5620136515714,1.14898411970142e-292,1.24903171651896e-291
"yidA_2",1638.08774119212,4.63429153996324,0.103595516784169,44.7344796746208,0,0
"licR_1",945.570659040408,4.62423907890716,0.165831984426688,27.8850855876447,4.0466384301714e-171,2.67211909562558e-170
"sorA_4",929.684564503358,4.5088476768295,0.141130412103983,31.9480940331091,5.74209099792055e-224,4.70556995624464e-223
"mdxE",955.939495210468,4.4951272314011,0.156664861988197,28.6926319938913,4.71473985230114e-181,3.29002370479355e-180
"rclA",3414.9055842435,4.48585177090967,0.0896107675976855,50.0592941135071,0,0
"yecD_2",2643.5673026313,4.46293585987113,0.104908850607224,42.541080509787,0,0
"yvbW",2481.64170477513,4.42073116520539,0.0988216032803602,44.7344610738972,0,0
"hsdS",2937.37937350357,4.41049897139289,0.207984335586785,21.2059189888007,8.42097827868025e-100,3.7276241798701e-99
"levD_1",966.187459651531,4.34838517444675,0.130958780043768,33.2042278722622,9.3543799467552e-242,8.30461064161934e-241
"ydbD",1051.43611220916,4.32720852213431,0.124680916823479,34.7062616507759,6.33839576831072e-264,6.17607099863447e-263
"dcuS_2",881.206136385896,4.2064975495705,0.119521414457892,35.1945094412557,2.42619854943689e-271,2.42316580125009e-270
